requirement,source order,repo,route,implementation,test,production evidence,installed evidence,status,gap
Official Store separada de Shopify,PBOS-001 §6,PrimeBuildOfficialStore,app completa,app Tauri propia sin theme runtime,296 tests base,main afae4aa,0.1.10 verificada 07-24,OK,
available = onHand - reserved - damaged,PBOS-001 §8,PrimeBuildOfficialStore,/inventory + /shop,owned-inventory.ts deriva del ledger,owned-inventory.test 12,main,runtime 07-24,OK,
Reservas atomicas + anti-oversell,PBOS-001 §12/§47,PrimeBuildOfficialStore,/shop/checkout,createReservation idempotente,owned-inventory.test + e2e,main,runtime 07-24,OK,
Visibilidad solo con owned stock,PBOS-001 §10 / SCLP §12,PrimeBuildOfficialStore,/shop,publicationState + policy default,storefront-clone.test,main,0.1.10: 0 publicos sin stock,OK,
Espejo con propiedad por campo,PBOS-001 §18,PrimeBuildOfficialStore,/store/mirror,DEFAULT_FIELD_OWNERSHIP,catalog-mirror.test,main,0.1.10,OK,
Plantillas versionadas sin sobrescribir,PBOS-001 §17,PrimeBuildOfficialStore,/catalog/templates,publishTemplateVersion,catalog-mirror.test,main,0.1.10,OK,
Envio rapido condicionado (6 condiciones),PBOS-001 §14,PrimeBuildOfficialStore,/shop PDP+cards,fastShippingVerdict,owned-inventory.test,main,0.1.10,OK,
Bulk purchasing validado,PBOS-001 §15/§45,PrimeBuildOfficialStore,/shop/bulk,matriz con validacion stock,build+runtime,main,0.1.10 ruta 200,OK,
PB primario / USD secundario,PBOS-001 §36-37 / SCLP §24,PrimeBuildOfficialStore,/shop*,cards+PDP+cart,store-pricing.test + parity shots,main,0.1.10,OK,
VN = VA x 0.90 una vez,PBOS-001 §35,ambos,/catalog/pb-pricing + SDK,calculateStorePrice,SDK 37 + store-pricing,main,0.1.10,OK,
Snapshot de quote + revalidacion checkout,PBOS-001 §38 / SCLP §25,PrimeBuildOfficialStore,/shop/checkout,revalidatePriceQuote,store-pricing.test,main,0.1.10,OK,
Pedidos con evidencia observada,PBOS-001 §48,PrimeBuildOfficialStore,/sales/official-orders,transitionOrder guard,storefront.test + e2e,main,0.1.10,OK,
Ledger append-only + salida al enviar,PBOS-001 §49,PrimeBuildOfficialStore,/sales/official-orders,OUT idempotente por orderId,e2e flow test,main,0.1.10,OK,
PB_EXCHANGE_V1 con pi/3.1/1%,PBOS-001 §21-22,CoinOS,/pb-exchange/*,SDK canonico + 10 paginas,117 tests CoinOS,CoinOS main f3310e5,0.3.0 (verificar runtime 003E),OK-VERIFY,G3
Validador anti-arbitraje bloquea,PBOS-001 §24,CoinOS+SDK,/pb-exchange,validateRoundTrip BLOCK,SDK tests x7,main,0.3.0,OK,
Legacy points intactos,PBOS-001 §20/§86,CoinOS,/pb-exchange/legacy,perfil paralelo sin conversion,SDK tests,main,0.3.0,OK,
SDK vendored paridad,PBOS-001 §33-34,6 repos,lib compartida,hash unico 1d21d2b0eb8ff3c0,parity suite x7,7 ramas canonicas,instaladas por app,OK,
Registro en Nexus,PBOS-001 §55,PlatformNexus,applications.ts,3 entradas,eal tests 65,main acb631d,0.6.10 (campana 016),OK,
Supervision Internal OS,PBOS-001 §54,PrimeBuildInternalOS,/official-store,10 areas + tarjeta PB,typecheck+tests,main c361cbf,INSTALADA 0.1.8 VIEJA,GAP,G1
Clon visual theme Primebuild 1.1,SCLP §4-9,PrimeBuildOfficialStore,/shop*,shopify-clone.css + chrome,storefront-clone.test + side-by-side,main,0.1.10,OK,
Theme inspeccionado por Admin API,SCLP §5,PrimeBuildOfficialStore,docs/theme-reference,groups+pb-* capturados,evidencia commiteada,main,n/a,OK,
Mirror en vivo full/incremental/reconcile,SCLP §17-19,PrimeBuildOfficialStore,/api/mirror/*,sync.service idempotente,mirror-sync.test,main,0.1.10,OK,
ACTIVE espejado / DRAFT-ARCHIVED excluidos,SCLP §11,PrimeBuildOfficialStore,sync+policy,query status:active + isPubliclyVisible,storefront-clone.test,main,0.1.10,OK,
Removed from source conserva historial,SCLP §11/§32,PrimeBuildOfficialStore,sync,upsert retire sin borrar,mirror-sync.test,main,0.1.10,OK,
Webhook HMAC anti-spoof,SCLP §18/§38,PrimeBuildOfficialStore,/api/mirror/webhook,firma verificada solo-encola,codigo+prueba manual,main,0.1.10,OK,
Estados de sync 9 honestos,SCLP §21,PrimeBuildOfficialStore,Sync Center,SYNC_STATES,storefront-clone.test,main,0.1.10,OK,
Snapshot etiquetado nunca live,SCLP §21,PrimeBuildOfficialStore,/api/mirror/snapshot,importSnapshot fuerza Stale,mirror-sync flujo,main,0.1.10 (52 Stale),OK,
Sync Center honesto,SCLP §22,PrimeBuildOfficialStore,/store/mirror,recuentos+acciones,runtime 07-24,main,0.1.10,OK,
Responsive/breakpoints,SCLP §29,PrimeBuildOfficialStore,/shop,clone CSS 749/989/1100,shots desktop+mobile,main,0.1.10,OK-EXTEND(003F 8bp),
Credenciales por nombre / nunca valores,SCLP §30 / 003B,todos,env,solo Test-Path por nombre,esta auditoria,n/a,ausentes,WAITING_OWNER_CREDENTIALS,G7
Fallback stale sin retirar productos,SCLP §31,PrimeBuildOfficialStore,/api/mirror/catalog,ultimo mirror valido,store.ts effectiveState,main,0.1.10,OK,
Rendimiento sin llamada por render,SCLP §33,PrimeBuildOfficialStore,/api/mirror/catalog,file store cacheado,arquitectura+codigo,main,0.1.10,OK,
